"Yes","Oui"
"Login","Identifiant"
"Delay","Jours de différé"
"Minimum Order Amount","Montant mini de la commande"
"ETransactions Back Office password","Mot de passe du Back-Office ETransactions"
"Payment methods","Moyens de paiement"
"Rank number","Numéro de rang"
"Site number","Numéro de site"
"Pay by Card Three Times","Paiement en trois fois par carte bancaire"
"Pay by Bancontact Mister Cash","Paiement par Bancontact/Mistercash"
"Pay by Buyster","Paiement par Buyster"
"Pay by Saving or Prepaid Ticket","Paiement par cagnotte ou ticket prépayé"
"Pay by Bank Card","Paiement par carte bancaire"
"Pay by Card and Means of Financing","Paiement par carte et moyen de financement"
"Pay by Maestro","Paiement par carte Maestro"
"Pay by Private Card","Paiement par carte privative"
"Pay by Paybutton","Paiement par Paybutton"
"Pay by Paypal","Paiement par Paypal"
"Account settings","Paramètres du compte"
"ETransactions","ETransactions"
"Presentation","Présentation"
"Subscribed ETransactions Solution","Solution ETransactions souscrite"
"Payment status","Statuts de commande"
"Debit type","Type de débit"
"Card type","Types de carte"

"Technical options","Réglages techniques"
"Debug","Débogage"
"Allowed IPs","IPs autorisées"
"ETransactions System test URLs","URL de test ETransactions System"
"ETransactions System production URLs","URL de production ETransactions System"
"ETransactions Direct test URLs","URL de test ETransactions Direct"
"ETransactions Direct production URLs","URL de production ETransactions Direct"
"A comma separated list of URLs.","Une liste d'URLs séparées par des virgules."
"A coma separated list of ETransactions IPs.","Une liste des IPs ETransactions séparées par des virgules."
"Enable some debugging information.","Active l'affichage d'informations de débogage supplémentaires."

"E-Transactions Access","E-Transactions Access"
"",""
"E-Transactions Premium","E-Transactions Premium"
"Production","Production"
"Test","Test"
"Conditionnal","Sélectif"
"Same","Identiques"
"Different","Différentes"
"Paid Immediatly","Débit immédiat"
"Defered payment","Débit différé"
"Paid shipping","Débit à l'expédition"

"Please select a valid credit card type","Veuillez choisir une carte."
"After confirmation of your order you will be redirected to the payment page.","Vous serez redirigé sur la page de paiement après confirmation de votre commande."
"Click to your card's logo, after confirmation of your order you will be redirected to the payment page.","Cliquez sur le logo correspondant à votre carte, vous serez redirigé sur la page de paiement après confirmation de votre commande."

"An unexpected error in ETransactions call has occured.","Une erreur imprévue s'est produite lors du traitement de la réponse de ETransactions."
"ETransactions returned an unexpected error","ETransactions a retourné une erreur."
"Payment canceled by user","Le paiement a été annulé par l'utilisateur."
"IPN call from %s not allowed.","L'appel à l'IPN par l'IP %s n'est pas permise."
"Unable to create an invoice.","Impossible de créer une facture."
"Payment was authorized and captured by ETransactions.","Le paiement a été autorisé et capturé par ETransactions."
"Second payment was captured by ETransactions.","Le deuxième paiement a été capturé par ETransactions."
"Third payment was captured by ETransactions.","Le troisième paiement a été capturé par ETransactions."
"No transaction found.","Aucune transaction trouvé."
"Payment never authorized.","Le paiement n'a pas été autorisé."
"Unexpected condition.","Une erreur imprévue s'est produite."
"Payment was captured by ETransactions.","Le paiement a été capturé par ETransactions."
"ETransactions direct error","Erreur de ETransactions Direct"
"Payment was canceled by user on ETransactions payment page.","Le paiement a été annulé par l'utilisateur sur la page de paiement de ETransactions."
"Customer is back from ETransactions payment page.","Le client est de retour de la page de paiement de ETransactions."
"Redirecting customer to ETransactions payment page.","Le client est redirigé vers la page de paiement de ETransactions."
"An unexpected error have occured while processing ETransactions payment (%s).","Une erreur imprévue s'est produite durant le traitement du paiement par ETransactions (%s)."
"Payment was refused by ETransactions (%s).","Le paiement a été refusé par ETransactions (%s)."
"Payment was refused by ETransactions.","Le paiement a été refusé par ETransactions."
"Payment was authorized by ETransactions.","Le paiement a été autorisé par ETransactions."
"Invoice automatically created by ETransactions payment module.","Une facture a été automatiquement crée par le module de paiement ETransactions."

"ETransactions not available. Please try again later.","ETransactions n'est actuellement pas disponible. Veuillez réessayer ultérieurement."
"If multiple currencies are active on your store you can force the payment with the base currency or the currency selected by the customer when ordering.","Si plusieurs devises sont actives sur votre boutique, vous pouvez forcer le paiement avec la devise de base ou avec la devise choisie par le client lors de sa commande."
"Orders currencies","Devises des commandes"
"Order currency","Devise choisie par le client"
"Default store currency","Devise de base de la boutique"

"Payment page type", "Type de page de paiement"
"Classic", "Classique"
"Responsive", "Responsive"

"You notified customer about invoice #%1.","Le client a été notifié de la création de la facture #%1."
"Captured amount of %1 online.","Montant capturé de %1 en ligne."
